year,month,day,hour,customer_load,pv_output,fit_nbt
2025,1,1,0,0.6686,0,0.0934
2025,1,1,1,0.6047,0,0.0916
2025,1,1,2,0.5449,0,0.0901
2025,1,1,3,0.512,0,0.089
2025,1,1,4,0.5374,0,0.091
2025,1,1,5,0.622,0,0.0932
2025,1,1,6,0.6089,0,0.0941
2025,1,1,7,0.8962,0.048,0.0887
2025,1,1,8,1.0703,1.2081,0.0767
2025,1,1,9,1.2719,2.2184,0.0686
2025,1,1,10,1.1099,2.8629,0.068
2025,1,1,11,1.0043,3.2159,0.0679
2025,1,1,12,1.0385,3.2698,0.0666
2025,1,1,13,0.8849,3.029,0.0649
2025,1,1,14,0.8417,2.384,0.0635
2025,1,1,15,0.8239,1.6631,0.0659
2025,1,1,16,0.9877,0.374,0.0817
2025,1,1,17,1.3002,0,0.1084
2025,1,1,18,1.3781,0,0.1014
2025,1,1,19,1.5214,0,0.0933
2025,1,1,20,1.4385,0,0.0926
2025,1,1,21,1.2697,0,0.0936
2025,1,1,22,1.1817,0,0.0965
2025,1,1,23,0.9357,0,0.095
2025,1,2,0,0.7285,0,0.0934
2025,1,2,1,0.7053,0,0.0916
2025,1,2,2,0.6969,0,0.0901
2025,1,2,3,0.6917,0,0.089
2025,1,2,4,0.6953,0,0.091
2025,1,2,5,0.6992,0,0.0932
2025,1,2,6,0.9216,0,0.0941
2025,1,2,7,1.0614,0,0.0887
2025,1,2,8,0.9925,0.0979,0.0767
2025,1,2,9,0.8261,0.1618,0.0686
2025,1,2,10,0.8647,0.5172,0.068
2025,1,2,11,0.7457,0.2098,0.0679
2025,1,2,12,0.6827,0.4249,0.0666
2025,1,2,13,0.7151,0.5008,0.0649
2025,1,2,14,0.7976,0.3255,0.0635
2025,1,2,15,0.9015,0.0782,0.0659
2025,1,2,16,1.1407,0.2908,0.0817
2025,1,2,17,1.4649,0,0.1084
2025,1,2,18,1.2966,0,0.1014
2025,1,2,19,1.3986,0,0.0933
2025,1,2,20,1.3414,0,0.0926
2025,1,2,21,1.2225,0,0.0936
2025,1,2,22,1.0276,0,0.0965
2025,1,2,23,0.8811,0,0.095
2025,1,3,0,0.7315,0,0.0934
2025,1,3,1,0.6191,0,0.0916
2025,1,3,2,0.5601,0,0.0901
2025,1,3,3,0.5581,0,0.089
2025,1,3,4,0.6201,0,0.091
2025,1,3,5,0.7697,0,0.0932
2025,1,3,6,0.9387,0,0.0941
2025,1,3,7,1.1877,0,0.0887
2025,1,3,8,1.089,0.3963,0.0767
2025,1,3,9,1.0196,1.3225,0.0686
2025,1,3,10,1.0631,1.372,0.068
2025,1,3,11,0.9864,1.3984,0.0679
2025,1,3,12,0.8083,1.6648,0.0666
2025,1,3,13,0.8198,1.3763,0.0649
2025,1,3,14,0.8255,0.3832,0.0635
2025,1,3,15,0.8034,0.2119,0.0659
2025,1,3,16,0.9124,0.0678,0.0817
2025,1,3,17,1.1771,0,0.1084
2025,1,3,18,1.3246,0,0.1014
2025,1,3,19,1.398,0,0.0933
2025,1,3,20,1.2598,0,0.0926
2025,1,3,21,1.2217,0,0.0936
2025,1,3,22,1.0071,0,0.0965
2025,1,3,23,0.7633,0,0.095
2025,1,4,0,1.1716,0,0.0903
2025,1,4,1,3.6191,0,0.0898
2025,1,4,2,0.9733,0,0.091
2025,1,4,3,0.8609,0,0.0898
2025,1,4,4,0.6362,0,0.0894
2025,1,4,5,0.7391,0,0.0907
2025,1,4,6,0.7511,0,0.0926
2025,1,4,7,0.9065,0,0.084
2025,1,4,8,1.1045,0.1981,0.0689
2025,1,4,9,1.0641,0.1542,0.0592
2025,1,4,10,1.1605,0.3117,0.0581
2025,1,4,11,1.1486,0.3923,0.0574
2025,1,4,12,1.2011,0.6083,0.058
2025,1,4,13,1.0996,0.4049,0.057
2025,1,4,14,1.0268,0.2217,0.0558
2025,1,4,15,1.0549,0.281,0.0581
2025,1,4,16,1.1524,0.0212,0.0845
2025,1,4,17,1.5285,0,0.1048
2025,1,4,18,1.5956,0,0.0986
2025,1,4,19,1.5822,0,0.0918
2025,1,4,20,1.3729,0,0.0901
2025,1,4,21,1.2346,0,0.0905
2025,1,4,22,0.9942,0,0.0935
2025,1,4,23,0.8817,0,0.0928
